Time,Speed,Date Route,Analysis Type,Accelerometer Location,Route,Exceedence Instance,Series_y,Date Exc,Speed Bracket,Nearest Station,Series,Run
256.76,94.33061363,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
257.49,93.92650411,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
257.87,93.94172141,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
257.97,93.86917921,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
259.83,93.35176031,23/10/2015,GPS,GPS,,,,,GPS,,1,1
265.1,91.35862958,23/10/2015,GPS,GPS,,,,,GPS,,1,1
270.37,89.08206765,23/10/2015,GPS,GPS,,,,,GPS,,1,1
272.05,87.83489582,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,80-90,Hoppers Crossing,2,1
275.64,86.97183542,23/10/2015,GPS,GPS,,,,,GPS,,1,1
278.23,84.97357747,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,80-90,Hoppers Crossing,2,1
278.33,84.87192571,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,80-90,Hoppers Crossing,2,1
278.54,84.8092045,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,80-90,Hoppers Crossing,2,1
280.91,84.04588463,23/10/2015,GPS,GPS,,,,,GPS,,1,1
285.83,80.18426012,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,80-90,Hoppers Crossing,2,1
286.18,79.6533168,23/10/2015,GPS,GPS,,,,,GPS,,1,1
291.45,72.95540937,23/10/2015,GPS,GPS,,,,,GPS,,1,1
296.72,66.82584128,23/10/2015,GPS,GPS,,,,,GPS,,1,1
301.99,56.52950357,23/10/2015,GPS,GPS,,,,,GPS,,1,1
307.26,47.18405197,23/10/2015,GPS,GPS,,,,,GPS,,1,1
312.53,37.3886838,23/10/2015,GPS,GPS,,,,,GPS,,1,1
317.8,29.68314468,23/10/2015,GPS,GPS,,,,,GPS,,1,1
323.07,19.05029685,23/10/2015,GPS,GPS,,,,,GPS,,1,1
328.34,4.569432953,23/10/2015,GPS,GPS,,,,,GPS,,1,1
333.61,0.461421984,23/10/2015,GPS,GPS,,,,,GPS,,1,1
338.88,0.619165802,23/10/2015,GPS,GPS,,,,,GPS,,1,1
344.15,0.414045937,23/10/2015,GPS,GPS,,,,,GPS,,1,1
349.42,0.625023863,23/10/2015,GPS,GPS,,,,,GPS,,1,1
354.69,0.254819382,23/10/2015,GPS,GPS,,,,,GPS,,1,1
359.96,1.741100021,23/10/2015,GPS,GPS,,,,,GPS,,1,1
365.23,15.30485438,23/10/2015,GPS,GPS,,,,,GPS,,1,1
370.5,28.47079613,23/10/2015,GPS,GPS,,,,,GPS,,1,1
375.77,41.42387677,23/10/2015,GPS,GPS,,,,,GPS,,1,1
381.04,52.8580101,23/10/2015,GPS,GPS,,,,,GPS,,1,1
386.31,61.02499804,23/10/2015,GPS,GPS,,,,,GPS,,1,1
391.58,67.24257514,23/10/2015,GPS,GPS,,,,,GPS,,1,1
396.85,72.80372716,23/10/2015,GPS,GPS,,,,,GPS,,1,1
402.12,77.24928079,23/10/2015,GPS,GPS,,,,,GPS,,1,1
407.39,81.8350477,23/10/2015,GPS,GPS,,,,,GPS,,1,1
410.57,83.94449611,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,80-90,Hoppers Crossing,2,1
412.66,85.607233,23/10/2015,GPS,GPS,,,,,GPS,,1,1
417.93,88.39582879,23/10/2015,GPS,GPS,,,,,GPS,,1,1
421.32,91.07798938,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
421.91,91.4375241,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
422.57,91.87434118,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
423.2,92.34013061,23/10/2015,GPS,GPS,,,,,GPS,,1,1
423.59,92.5673798,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
424.15,92.93340855,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
424.16,92.94071189,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
424.75,93.41923904,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
426.36,94.60714262,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
428.47,95.77848413,23/10/2015,GPS,GPS,,,,,GPS,,1,1
429.5,96.41307851,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,90-100,Hoppers Crossing,2,1
